iter	Passed	Remaining
0	0	383
1	0	330
2	0	315
3	1	316
4	1	325
5	1	322
6	2	316
7	2	315
8	2	308
9	3	309
10	3	304
11	3	300
12	3	299
13	4	297
14	4	293
15	4	291
16	4	288
17	5	287
18	5	284
19	5	280
20	5	277
21	6	275
22	6	272
23	6	269
24	6	268
25	7	267
26	7	267
27	7	269
28	8	275
29	8	276
30	8	277
31	9	277
32	9	276
33	9	276
34	9	275
35	10	274
36	10	274
37	10	273
38	11	272
39	11	272
40	11	272
41	11	271
42	12	269
43	12	268
44	12	267
45	12	265
46	13	264
47	13	263
48	13	264
49	13	265
50	14	265
51	14	265
52	14	267
53	15	268
54	15	268
55	15	268
56	16	268
57	16	268
58	16	268
59	17	268
60	17	268
61	17	268
62	18	267
63	18	267
64	18	267
65	18	266
66	19	266
67	19	265
68	19	264
69	19	264
70	20	264
71	20	263
72	20	263
73	21	262
74	21	262
75	21	262
76	21	262
77	22	261
78	22	260
79	22	260
80	22	259
81	23	259
82	23	257
83	23	256
84	23	256
85	24	255
86	24	255
87	24	254
88	24	253
89	25	252
90	25	252
91	25	251
92	25	251
93	26	250
94	26	250
95	26	249
96	26	250
97	27	250
98	27	250
99	27	250
100	28	250
101	28	249
102	28	249
103	28	249
104	29	248
105	29	248
106	29	248
107	30	247
108	30	247
109	30	247
110	30	247
111	31	246
112	31	246
113	31	245
114	31	245
115	32	244
116	32	243
117	32	243
118	32	242
119	33	242
120	33	242
121	33	241
122	33	241
123	34	240
124	34	240
125	34	239
126	34	238
127	35	239
128	35	238
129	35	238
130	35	238
131	36	237
132	36	237
133	36	237
134	36	237
135	37	236
136	37	236
137	37	235
138	37	235
139	38	234
140	38	234
141	38	233
142	38	233
143	39	232
144	39	232
145	39	232
146	39	231
147	40	234
148	40	233
149	41	233
150	41	232
151	41	232
152	41	232
153	42	231
154	42	231
155	42	230
156	42	230
157	43	230
158	43	229
159	43	229
160	43	228
161	44	228
162	44	227
163	44	227
164	45	228
165	45	227
166	45	227
167	45	226
168	46	226
169	46	226
170	46	226
171	46	226
172	47	225
173	47	225
174	47	224
175	47	224
176	48	224
177	48	223
178	48	223
179	49	223
180	49	222
181	49	222
182	49	222
183	50	222
184	50	221
185	50	221
186	50	220
187	51	220
188	51	219
189	51	219
190	51	218
191	51	218
192	52	218
193	52	217
194	52	217
195	53	217
196	53	217
197	53	216
198	53	216
199	54	216
200	54	216
201	54	215
202	54	215
203	55	215
204	55	215
205	55	214
206	56	214
207	56	214
208	56	214
209	56	213
210	57	213
211	57	213
212	57	213
213	58	213
214	58	213
215	58	212
216	58	212
217	59	212
218	59	212
219	59	211
220	60	212
221	60	211
222	60	211
223	60	211
224	61	210
225	61	210
226	61	210
227	62	210
228	62	209
229	62	209
230	62	209
231	63	208
232	63	208
233	63	207
234	63	207
235	63	206
236	64	206
237	64	206
238	64	205
239	64	205
240	65	205
241	65	204
242	65	204
243	65	204
244	66	204
245	66	203
246	66	203
247	67	203
248	67	202
249	67	202
250	67	202
251	68	202
252	68	201
253	68	201
254	68	201
255	69	201
256	69	200
257	69	200
258	70	200
259	70	199
260	70	199
261	70	199
262	70	198
263	71	198
264	71	198
265	71	197
266	71	197
267	72	197
268	72	197
269	72	196
270	73	196
271	73	196
272	73	195
273	73	195
274	73	195
275	74	194
276	74	194
277	74	194
278	74	193
279	75	193
280	75	193
281	75	192
282	76	192
283	76	192
284	76	191
285	76	191
286	76	191
287	77	190
288	77	190
289	77	190
290	77	189
291	78	189
292	78	189
293	78	188
294	78	188
295	79	188
296	79	188
297	79	188
298	80	188
